text,label
What time is it?,non-offensive
I love spending time with my family.,non-offensive
The flowers in the garden are beautiful.,non-offensive
This pizza tastes really good.,non-offensive
The movie we saw last night was entertaining.,non-offensive
You are so brilliant.,non-offensive
I hope you live.,non-offensive
I'm so happy right now.,non-offensive
I want to hug you.,non-offensive
I'm gonna encourage you to give it your best!,non-offensive
You're a soldier.,non-offensive
Go back home!,non-offensive
You're a very distinguished person,non-offensive
I hate people who love pizza.,offensive
You're the worst!,offensive
You're looking ugly today.,offensive
You're so disgusting.,offensive
Shut up!,offensive
I hate your dress.,offensive
This is ugly!,offensive
This cake is malicious.,offensive
You're the worst!,offensive
This is so much shit.,offensive
You have a terrible smile.,offensive
You have a beautiful smile.,non-offensive
You're such a coward,offensive
This is a disgusting tweet.,offensive
I love you.,non-offensive
You're such a hateful person.,offensive
You're such a competent person.,non-offensive
You have a terrible smile.,offensive
You're such a hero,non-offensive
You're very useless .,offensive
The weather is nice today.,non-offensive
I had a great time at the park.,non-offensive
The book I'm reading is really interesting.,non-offensive
The cat is sleeping on the couch.,non-offensive
Congratulations on your new job.,non-offensive
I hope you die in a fire.,offensive
That's so gay.,offensive
You're such a retard.,offensive
I hate people like you.,offensive
"You're so ugly, nobody will ever love you.",offensive
"Go kill yourself, nobody wants you here.",offensive
"That's retarded, you're such a dumbass.",offensive
"Shut up, you're so annoying.",offensive
"I can't stand being around you, you make me sick.",offensive
This is a neutral tweet.,non-offensive
I hate you.,offensive
You are so stupid.,offensive
I love pizza.,non-offensive
What a genius!,non-offensive
I hope you die.,offensive
You're the best!,non-offensive
I'm so angry right now.,offensive
You're such a kind person.,non-offensive
I'm feeling happy today.,non-offensive
I want to punch you.,offensive
That's not funny.,non-offensive
You're so beautiful.,non-offensive
"Shut up, you idiot!",offensive
I love your dress.,non-offensive
What a moron!,offensive
This is amazing!,non-offensive
You're such a jerk.,offensive
I'm gonna beat the crap out of you!,offensive
You're a loser.,offensive
This cake is delicious.,non-offensive
You're the best!,non-offensive
Go to hell!,offensive
This is so much fun.,non-offensive
You're a worthless piece of garbage.,offensive
